reviewId,userName,content,score,thumbsUpCount,at,review,subjectivity,polarity,review_date,Analysis,binaryrating,naive_bayes_predicted_label,svc_predicted_label
ec67988a-d382-4489-9cf6-059383570f4d,Agboju Daniel,100% legit this app has really save me,5,0,2022-11-30 05:13:55,% legit app realli save,0.0,0.0,2022-11-30 05:13:55,Neutral,0,0,0
5dc9a568-30fa-4db4-a045-424ae6d5bf54,Odion Elvis,Excellent and trustworthy,5,0,2022-11-29 17:51:24,excel trustworthi,0.0,0.0,2022-11-29 17:51:24,Neutral,0,0,0
570a336e-eb34-4e7e-8c50-2217117440c8,Damilare dare,Poor can't migrate my referer bouns...how do I go about it,1,0,2022-11-29 05:15:15,poor can't migrat refer bouns...how go,0.6,-0.4,2022-11-29 05:15:15,Negative,0,0,0
ae2de4cb-3965-44e8-8f22-0c4eab02602c,Adebola Morenikeji,Auuuhhh...I finally was able to withdraw...it's was my fault I mixed up my password..buh anyways thank you,5,0,2022-11-28 12:25:57,auuuhhh...i final abl withdraw...it' fault mix password..buh anyway thank,1.0,0.0,2022-11-28 12:25:57,Neutral,0,0,0
8feb899c-a14c-4628-8cd3-bf4a3e4a71e6,Ben Udemeh,"I must say the app has been wonderful so far, the ability to be responsible with funds for planning ahead is a really great feature. But I must complain about migrating pending referrals after signing up. It keeps showing the error message; temporarily disabled, please try again later. I need you to fix this.",4,1,2022-11-28 11:11:02,"must say app wonder far, abil respons fund plan ahead realli great feature. must complain migrat pend referr sign up. keep show error message; temporarili disabled, pleas tri later. need fix this.",0.5125,0.175,2022-11-28 11:11:02,Positive,1,0,1
7219de1c-bd1d-4f69-8c27-def21ec5ce00,MATHEW YEYE,Very poor network service and issues. Customer service waste airtime alot before picking,1,0,2022-11-28 08:32:02,poor network servic issues. custom servic wast airtim alot pick,0.6,-0.4,2022-11-28 08:32:02,Negative,0,0,0
b5a5d03e-9318-4671-96e9-f136c88e1fec,Fola Olalere,"Hello piggyvest, you guys have started malfunctioning again, rectify your app pls, trying to withdraw since, sensing opt takes you guys hr to send , and when it sent and input it , telling me expire all the time, I need money for an emergency, I can't withdraw... This is not good. Work on your app, this is so annoying.",2,0,2022-11-28 06:24:06,"hello piggyvest, guy start malfunct again, rectifi app pls, tri withdraw since, sens opt take guy hr send , sent input , tell expir time, need money emergency, can't withdraw... not good. work app, annoying.",0.75,-0.575,2022-11-28 06:24:06,Negative,0,0,1
29c4eab7-0b4a-4225-8b23-9a9590f370ae,cosmos izibili,Why can't i withdraw more than 2000 naira,3,0,2022-11-27 18:04:30,can't withdraw naira,0.0,0.0,2022-11-27 18:04:30,Neutral,0,0,0
05d35f94-87e5-43cc-a141-8c2ef6f19885,Yusuf Yahaya,This app is very useless ....when you need your money emergency OTP Will always refuse to be sent..,1,0,2022-11-26 04:04:33,app useless ....when need money emerg otp alway refus sent..,0.2,-0.5,2022-11-26 04:04:33,Negative,0,0,0
c14b8659-c0e0-4006-8d2b-ec717bc04bb4,Wisdom Inquired,Awesome 🌟🌟🌟🌟🌟🌟🌟,5,0,2022-11-25 18:23:26,awesom 🌟🌟🌟🌟🌟🌟🌟,0.0,0.0,2022-11-25 18:23:26,Neutral,0,0,0
9004a1d5-3244-4bed-b720-1b3eb42a5133,Chike Amadi,"It helps me save, I wish I had started using this app earlier.",5,0,2022-11-25 03:25:33,"help save, wish start use app earlier.",0.5,0.0,2022-11-25 03:25:33,Neutral,0,0,0
1a46366b-7526-4e8f-ae1d-597320d72a0c,Ayomide Kay,Very useful when you need financial discipline.,5,0,2022-11-25 00:07:03,use need financi discipline.,0.0,0.0,2022-11-25 00:07:03,Neutral,0,0,0
077de416-700d-4b4b-b5b2-dd9ea5ed382d,Tolu Okuneso,I haven't been able to create a safelock since 3 days back.. it always bring a pop-up showing an inability to charge from the funding source,2,0,2022-11-24 17:18:51,abl creat safelock sinc day back.. alway bring pop-up show inabl charg fund sourc,0.0,0.0,2022-11-24 17:18:51,Neutral,0,0,0
74d7a585-40c6-4c8f-8a6e-233ebf5d5742,Isreal Wonuola,I haven't tried it but I know that this App will favor me,5,0,2022-11-23 16:02:46,tri know app favor,0.0,0.0,2022-11-23 16:02:46,Neutral,0,0,0
d074a9b4-e323-4636-a008-64bd09ecd1df,Endurance Favour,This app is good and I will advice you to download the app,5,0,2022-11-21 14:40:49,app good advic download app,0.6000000000000001,0.7,2022-11-21 14:40:49,Positive,1,0,1
f850a227-30be-4c2d-82aa-aea61afcb144,Faith Emily,Bad experience,1,0,2022-11-21 11:44:58,bad experi,0.6666666666666666,-0.6999999999999998,2022-11-21 11:44:58,Negative,0,0,0
